#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322310051626	-1	-1	-1	-1
1456322327940428	-1	-1	-1	-1
18297525	67	88	1	1	
18297596	67	68	0	1	
18297622	72	88	1	1	
18297706	68	88	1	1	
18298060	57	42	0	0	
18298063	96	44	0	0	
18298134	47	65	0	1	
18298174	34	76	0	1	
18298269	95	43	0	0	
18298412	88	102	1	0	
18298413	88	102	1	0	
18298736	86	30	0	1	
18299486	109	31	0	1	
18299487	109	31	0	1	
18299638	118	118	0	1	
18300229	96	45	0	0	
18300282	88	30	0	1	
18300345	66	29	0	1	
18300984	88	89	1	1	
18301109	73	102	1	0	
18301534	98	31	0	1	
18301611	63	51	0	1	
18301794	50	108	0	1	
18301810	57	29	0	1	
18301850	75	72	0	1	
18301973	31	46	0	1	
18302304	122	82	0	1	
18302345	59	42	0	0	
18302418	89	30	0	1	
18302493	108	88	1	1	
18302537	99	30	0	1	
18302666	14	6	0	1	
18302728	86	74	0	1	
18302735	56	29	0	1	
18302782	30	47	0	1	
18302863	70	44	0	0	
18302932	58	42	0	0	
18302947	45	102	0	1	
18303772	123	86	0	1	
18303921	105	13	0	1	
18304247	91	102	1	0	
18304398	118	44	0	0	
18304446	47	40	0	1	
18305025	104	31	0	1	
18305180	97	44	0	0	
18305326	70	102	1	0	
18305711	41	80	0	0	
18305945	65	42	0	0	
18305946	65	42	0	0	
18306271	100	43	0	0	
18306273	100	43	0	0	
18306625	75	30	0	1	
18306895	63	123	0	1	
18307309	120	38	0	1	
18307310	105	31	0	1	
18307559	120	44	0	0	
18308101	33	102	0	0	
18308388	90	127	0	1	
18308433	65	42	1	0	
18308435	65	42	1	0	
18308721	30	94	1	0	
18310346	40	80	0	0	
18310412	112	44	0	0	
18310796	59	123	0	1	
18311841	104	32	0	1	
18311883	31	47	0	1	
18312431	40	29	1	0	
18312474	40	80	1	0	
18313148	98	30	0	1	
18313495	17	96	0	0	
18315633	8	24	0	1	
18315684	58	42	1	0	
18315849	13	6	0	0	
18317592	11	83	0	0	
18317593	11	83	0	0	
18317955	57	88	1	1	
18318030	45	13	0	1	
18319265	13	5	0	0	
18319614	83	19	0	1	
18319841	108	102	1	0	
18320153	91	84	0	0	
18320206	83	18	0	1	
18320363	115	88	1	1	
18320648	34	54	0	0	
18321001	29	71	1	1	
18321711	50	45	0	0	
18321778	40	81	0	0	
18322066	49	95	1	0	
18322130	12	6	0	0	
18322131	12	6	0	0	
18323007	4	23	1	0	
18323386	87	13	0	1	
18324768	22	6	0	1	
18324769	22	6	0	1	
18324894	34	53	0	0	
18324903	93	23	0	1	
18325154	74	103	1	1	
18325514	12	7	1	0	
18325515	12	7	1	0	
18325635	56	64	0	1	
18326021	106	89	1	1	
18326541	99	32	0	1	
18326619	42	94	1	0	
18326657	51	108	0	1	
18326658	51	108	0	1	
18326781	95	59	0	0	
18327098	81	43	1	0	
18327099	81	43	1	0	
18328841	85	20	0	1	
18329244	50	43	0	0	
18330144	88	30	1	1	
18330232	48	88	1	1	
18330851	38	95	0	1	
18331558	47	38	0	1	
18331620	59	42	1	0	
18332322	34	102	0	1	
18332604	28	94	0	1	
18332982	66	42	0	0	
18334300	120	49	0	1	
18334524	50	109	0	1	
18334736	121	98	1	0	
18335198	67	42	1	0	
18335651	47	29	1	1	
18336239	91	32	0	0	
18336583	67	88	0	1	
18336962	50	29	1	1	
18336964	50	29	1	1	
18337222	33	95	0	0	
18337223	33	95	0	0	
18337454	46	84	1	1	
18337872	32	94	0	0	
18338863	34	52	0	0	
18338865	34	52	0	0	
18339492	55	94	0	0	
18340899	83	30	1	1	
18341342	28	48	0	1	
18341708	53	42	1	0	
18342605	70	78	0	1	
18342728	13	6	1	0	
18342729	13	6	1	0	
18343685	107	82	0	0	
18344331	99	62	0	1	
18344406	46	30	0	1	
18345177	51	29	1	1	
18345947	119	44	0	0	
18346178	94	43	1	0	
18346237	47	30	0	1	
18347500	105	32	0	1	
18347652	99	30	1	1	
18347928	118	44	1	0	
18347929	118	44	1	0	
18348249	52	42	1	0	
18348928	107	31	0	1	
18349148	97	43	1	0	
18349264	29	48	0	1	
18349861	49	78	0	0	
18350410	70	88	0	1	
18350751	89	44	0	1	
18350908	87	30	1	1	
18351323	57	29	1	1	
18351757	48	31	0	1	
18351759	48	31	0	1	
18352123	89	98	1	1	
18352244	66	61	0	0	
18352309	89	85	0	1	
18352359	57	42	1	0	
18352567	49	72	0	0	
18352773	29	47	0	1	
18353348	67	88	0	1	
18353582	120	44	1	0	
18354203	58	88	0	1	
18354288	50	46	0	0	
18354341	50	48	0	0	
18354347	49	42	1	0	
18354349	71	29	1	1	
18354475	65	29	1	1	
18354499	83	43	1	0	
18354541	36	52	0	0	
18354586	96	30	0	1	
18354713	47	36	0	1	
18354847	71	43	1	0	
18355056	62	88	0	1	
18355710	127	51	0	0	
18356112	2	127	1	1	
18356741	98	43	0	0	
18356857	58	29	1	1	
18356882	56	29	1	1	
18357042	56	58	0	1	
18357103	25	90	0	1	
18357228	96	98	0	0	
18357254	80	43	1	0	
18357412	47	34	0	1	
18357744	47	43	0	1	
18358045	6	55	0	1	
18358083	51	87	0	1	
18358147	49	70	0	0	
18358190	55	42	1	0	
18358513	32	94	1	0	
18358851	48	29	1	1	
18359405	47	88	0	1	
18359622	64	42	1	0	
18360306	55	88	0	1	
18360308	55	88	0	1	
18360363	46	31	0	1	
18360371	76	43	1	0	
18360645	90	101	1	0	
18360778	47	31	0	1	
18361085	90	30	1	1	
18361198	49	108	0	1	
18361312	10	28	1	0	
18361544	68	88	0	1	
18361569	65	88	0	1	
18361574	50	108	1	1	
18361608	66	42	1	0	
18361816	76	20	0	1	
18361843	121	45	1	0	
18361875	28	47	0	1	
18362123	84	96	0	1	
18362260	79	43	1	0	
18362426	46	80	1	1	
18362621	84	43	1	0	
18362716	49	88	0	1	
